index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
213,Micronesia (country),Oceania,26547,232505.386,65,569.287,NaN,NaN,NaN,NaN,NaN,NaN,114178,150.777,23,4.81,2.392,3299.464,67.88,0.62
214,Nauru,Oceania,5393,424946.813,1,78.796,13106,11346,7705,NaN,89.4,60.71,12691,682.45,NaN,NaN,NaN,12895.635,59.96,NaN
215,New Caledonia,Oceania,80064,276121.797,314,1082.912,192375,184816,103511,66.35,63.74,35.7,289959,15.342,33.4,9.954,6.489,NaN,77.55,NaN
216,New Zealand,Oceania,2397437,462353.593,3416,658.787,4301605,4182631,3568079,82.96,80.66,68.81,5185289,18.206,37.9,15.322,9.72,36085.843,82.29,0.931
217,Niue,Oceania,887,454405.738,NaN,NaN,1638,1635,1225,83.91,83.76,62.76,1952,NaN,NaN,NaN,NaN,NaN,73.71,NaN
218,Northern Mariana Islands,Oceania,14313,288719.893,41,827.046,NaN,NaN,NaN,NaN,NaN,NaN,49574,119.878,NaN,NaN,NaN,NaN,76.74,NaN
219,Palau,Oceania,6246,345388.188,9,497.678,NaN,NaN,NaN,NaN,NaN,NaN,18084,47.237,NaN,NaN,NaN,13240.405,73.7,0.826
220,Papua New Guinea,Oceania,46864,4620.5,670,66.058,382020,321192,34483,3.77,3.17,0.34,10142625,18.22,22.6,3.808,2.142,3823.194,64.5,0.555
221,Pitcairn,Oceania,4,85106.383,NaN,NaN,47,47,23,100,100,48.94,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222,Samoa,Oceania,16778,75444.04,31,139.395,191403,177954,82268,86.07,80.02,36.99,222390,69.413,22,5.606,3.564,6021.557,73.32,0.715
223,Solomon Islands,Oceania,25954,35834.604,199,274.759,343821,254352,27783,47.47,35.12,3.84,724272,21.841,20.8,3.507,2.043,2205.923,73,0.567
224,Tokelau,Oceania,80,42260.961,NaN,NaN,2203,2203,968,NaN,NaN,51.14,1893,NaN,NaN,NaN,NaN,NaN,81.86,NaN
